,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,average_rating,number_of_votes
22818,tt2349142,Alien Showdown: The Day the Old West Stood Still,Alien Showdown: The Day the Old West Stood Still,2013,80.0,"Action,Adventure,Horror",2.0,305
22819,tt2349144,Mississippi Grind,Mississippi Grind,2015,108.0,"Comedy,Drama",6.4,17206
22820,tt2349212,The Daughter,The Daughter,2013,86.0,"Action,Drama,Thriller",4.8,169
22821,tt2349296,Seven Deadly Words,Seven Deadly Words,2013,97.0,"Drama,Family",5.8,72
22822,tt2349298,Sadourni's Butterflies,Las mariposas de Sadourní,2012,87.0,Drama,7.5,69
22823,tt2349332,Boyz of Summer,Boyz of Summer,2012,90.0,Drama,8.3,13
22824,tt2349406,Right in the Cloaca!,Right in the Cloaca!,2012,94.0,Comedy,7.6,17
22825,tt2349460,Grace Unplugged,Grace Unplugged,2013,102.0,"Drama,Music",6.2,3006
22826,tt2349548,All the Ways of God,Tots els camins de Déu,2014,70.0,Drama,5.7,77
22827,tt2349608,Fairy Out of Wedluck,Parinaaz,2017,90.0,Drama,6.8,29
22828,tt2349630,Whatever God Wants,Whatever God Wants,2010,100.0,"Comedy,Family",3.7,165
22829,tt2349643,A Man Called Nereus,A Man Called Nereus,2012,98.0,"Action,Comedy,Sci-Fi",6.4,46
22830,tt2349653,Aussie Park Boyz: The Next Chapter,Aussie Park Boyz: The Next Chapter,2011,91.0,Action,3.6,28
22831,tt2349675,Every Breath You Take,Every Breath You Take,2012,105.0,"Comedy,Romance",6.8,52
22832,tt2349677,Farewell Ferris Wheel,Farewell Ferris Wheel,2016,72.0,"Documentary,Drama,News",7.2,55
22833,tt2349721,La Lectora,La Lectora,2012,97.0,"Action,Drama,Thriller",6.0,280
22834,tt2349731,Lockdown: Red Moon Escape,Lockdown: Red Moon Escape,2012,60.0,"Action,Drama,Horror",6.5,33
22835,tt2349854,Cinéma Inch'Allah!,Cinéma Inch'Allah!,2012,72.0,"Biography,Documentary",7.0,43
22836,tt2349910,Again,"Yurusenai, aitai",2013,107.0,Drama,6.3,17
22837,tt2349944,Boy on the Bridge,To agóri sti géfyra,2016,85.0,Drama,7.1,116
22838,tt2349952,Block 12,Block 12,2013,95.0,"Comedy,Drama",5.2,94
22839,tt2349962,Lock Down,Lock Down,2013,45.0,Action,6.2,6
22840,tt2350086,PMS Cop,PMS Cop,2014,92.0,Horror,4.5,84
22841,tt2350374,Touched by Grace,The Senior Prank,2014,94.0,Drama,6.4,172
22842,tt2350432,Free Angela and All Political Prisoners,Free Angela and All Political Prisoners,2012,102.0,Documentary,7.0,495
22843,tt2350452,Tea & Sangria,Tea & Sangria,2014,110.0,"Comedy,Romance",6.6,53
22844,tt2350496,The Lunchbox,Dabba,2013,104.0,"Drama,Romance",7.8,42618
22845,tt2350500,Gooby Pls,Gooby Pls,2012,91.0,Animation,6.9,7
22846,tt2350608,Revolution,Revolution,2012,85.0,"Adventure,Documentary,Family",7.6,377
22847,tt2350626,Le nez dans le ruisseau,Le nez dans le ruisseau,2012,90.0,Drama,7.2,49
22848,tt2350676,Bilderberg'$ Club,Bilderberg'$ Club,2012,95.0,Documentary,7.4,19
22849,tt2350734,Jayhawkers,Jayhawkers,2014,106.0,Biography,7.9,75
22850,tt2350736,Taitah Rahibah,Taitah Rahibah,2012,104.0,"Comedy,Drama",5.2,351
22851,tt2350742,Wild and Precious,Wild and Precious,2012,87.0,Drama,8.7,10
22852,tt2350746,Eppadi Manasukkul Vandhai,Eppadi Manasukkul Vandhai,2012,160.0,"Drama,Romance",4.5,13
22853,tt2350768,From Baghdad to Brooklyn,From Baghdad to Brooklyn,2015,82.0,Documentary,6.5,11
22854,tt2350782,Big Voice,Big Voice,2015,83.0,"Biography,Documentary,Family",8.2,76
22855,tt2350824,Infinity & Chashu Ramen,Infinity & Chashu Ramen,2013,85.0,"Comedy,Fantasy,Romance",7.2,5
22856,tt2350852,Raised by Wolves,Raised by Wolves,2014,76.0,Horror,3.8,285
22857,tt2350892,Bad Country,Bad Country,2014,95.0,"Action,Crime,Drama",5.8,7569
22858,tt2350954,Santa's Summer House,Santa's Summer House,2012,90.0,"Family,Fantasy",3.2,219
22859,tt2350984,Guniguni,Guniguni,2012,104.0,Horror,4.9,34
22860,tt2351098,A Picture of You,A Picture of You,2013,83.0,Drama,6.3,203
22861,tt2351128,Ever Loving Ocean of Blues,Lan Diao Hai Zhi Lian,2012,98.0,"Drama,Romance",5.3,6
22862,tt2351157,Ameisen gehen andere Wege,Ameisen gehen andere Wege,2011,93.0,Romance,6.7,22
22863,tt2351177,Bhooter Bhabishyat,Bhooter Bhabishyat,2012,123.0,"Comedy,Fantasy,Horror",8.1,2900
22864,tt2351269,Kop glebiej,Kop glebiej,2011,86.0,Drama,4.9,19
22865,tt2351277,Colère,Colère,2012,90.0,Drama,7.0,5
22866,tt2351310,Flu,Gamgi,2013,122.0,"Action,Drama",6.8,5282
22867,tt2351385,Tian xin qiao ke li,Tian xin qiao ke li,2012,106.0,Drama,5.2,20
22868,tt2351392,Beyond the Call to Duty,Beyond the Call to Duty,2016,95.0,"Action,Drama,Horror",1.6,440
22869,tt2351393,The Exorcist in the 21st Century,The Exorcist in the 21st Century,2012,80.0,Documentary,4.6,108
22870,tt2351417,Trans,Trans,2012,104.0,"Documentary,Drama,Family",5.9,94
22871,tt2351524,La educación prohibida,La educación prohibida,2012,121.0,Documentary,7.5,376
22872,tt2351588,Jet Set,Jet Set,2013,92.0,"Adventure,Comedy,Romance",7.6,14
22873,tt2351598,Nekem Budapest,Nekem Budapest,2013,93.0,Drama,6.4,57
22874,tt2351804,Game Changers,Game Changers,2016,91.0,Drama,5.3,14
22875,tt2352044,Nude Area,Nude Area,2014,80.0,Drama,5.6,200
22876,tt2352064,Nebenwirkung Glück,Nebenwirkung Glück,2011,52.0,Documentary,6.0,9
22877,tt2352196,Thank You for Your Service,Thank You for Your Service,2015,88.0,"Documentary,Drama",7.7,74
22878,tt2352230,The Dinner,Het diner,2013,88.0,"Drama,Thriller",6.0,2041
22879,tt2352244,Doktor M.H. - Kes on Marie Johansson,Doktor M.H. - Kes on Marie Johansson,2012,47.0,Drama,7.0,5
22880,tt2352302,Always in Season,Always in Season,2019,89.0,Documentary,6.9,18
22881,tt2352376,April,April,2014,91.0,"Comedy,Drama,Sci-Fi",6.9,13
22882,tt2352394,Hai-Alarm am Müggelsee,Hai-Alarm am Müggelsee,2013,103.0,Comedy,6.0,488
22883,tt2352434,The Alley Cat,The Alley Cat,2014,65.0,"Action,Drama,Sport",6.5,30
22884,tt2352488,Interior. Leather Bar.,Interior. Leather Bar.,2013,60.0,Drama,5.1,2227
22885,tt2352524,Los increíbles,Los increíbles,2012,90.0,"Documentary,Drama,Family",6.1,37
22886,tt2352722,I Am Alone,I Am Alone,2015,88.0,"Drama,Horror,Sci-Fi",5.0,106
22887,tt2352802,Goodbye World,Goodbye World,2013,99.0,"Comedy,Drama",5.5,6143
22888,tt2352830,Evoé: Portrait of an Anthropophage,Evoé - Retrato de Um Antropófago,2011,104.0,Documentary,8.7,6
22889,tt2352892,Wasteland,Wasteland,2013,92.0,"Drama,Horror",3.3,321
22890,tt2353506,"Carmela, Saved by the Buccaneers","Carmela, salvata dai filibustieri",2012,76.0,"Adventure,Drama",5.8,6
22891,tt2353755,12 12 12,12 12 12,2014,98.0,Sci-Fi,5.7,27
22892,tt2353767,"1,000 Times Good Night",Tusen ganger god natt,2013,117.0,"Drama,War",7.1,6848
22893,tt2353801,Apabad,Apabad,2012,91.0,"Comedy,Drama",7.5,66
22894,tt2353807,As Goes Janesville,As Goes Janesville,2012,88.0,Documentary,6.9,27
22895,tt2353824,Janleva 555,Janleva 555,2012,140.0,"Musical,Romance,Thriller",4.7,16
22896,tt2353841,Biffy Clyro: Revolutions Live at Wembley,Biffy Clyro: Revolutions Live at Wembley,2011,91.0,"Documentary,Music",8.1,16
22897,tt2353855,Born Naked (MLB),Born Naked (MLB),2012,83.0,"Biography,Documentary",5.4,28
22898,tt2353861,Brick Madness,Brick Madness,2017,91.0,Comedy,8.8,32
22899,tt2353867,Bully,Bully,2012,112.0,Music,6.3,13
22900,tt2353870,Kral Yolu,Kral Yolu,2013,91.0,"Action,Comedy,Fantasy",4.4,35
22901,tt2353887,Cocaine Prison,Cocaine Prison,2017,90.0,"Documentary,Drama",6.8,40
22902,tt2353899,Consequence,Consequence,2015,93.0,Drama,3.7,23
22903,tt2353925,Deadmau5 Live @ Earls Court,Deadmau5 Live @ Earls Court,2011,120.0,Music,9.0,10
22904,tt2353933,"Deathbone, Third Blood Part VII: The Blood of Deathbone","Deathbone, Third Blood Part VII: The Blood of Deathbone",2011,90.0,Fantasy,5.6,18
22905,tt2353965,Frequency,Distraction,2012,60.0,"Sci-Fi,Thriller",5.9,16
22906,tt2353970,Village People - Voll Porno,Village People - Voll Porno,2011,107.0,Comedy,4.3,7
22907,tt2353981,"El Inca, la boba y el hijo del ladrón","El Inca, la boba y el hijo del ladrón",2011,104.0,Drama,8.3,7
22908,tt2353989,Urban Cannibal,En pays cannibale,2013,84.0,Comedy,4.3,11
22909,tt2354012,Underexposed: A Women's Skateboarding Documentary,Underexposed: A Women's Skateboarding Documentary,2013,86.0,"Documentary,Sport",7.2,24
22910,tt2354069,Hattrick,Hattrick,2012,104.0,"Action,Comedy,Drama",7.9,30
22911,tt2354113,In a Race Against Time,In a Race Against Time,2012,95.0,"Documentary,Drama,Sport",6.0,5
22912,tt2354124,Rumah Bekas Kuburan,Rumah Bekas Kuburan,2012,79.0,Horror,2.9,8
22913,tt2354139,Killing Time,Killing Time,2011,99.0,"Crime,Thriller",5.4,235
22914,tt2354141,Kotsutsubo,Kotsutsubo,2012,82.0,Horror,4.9,73
22915,tt2354157,La Pasión de Michelangelo,La Pasión de Michelangelo,2013,99.0,Drama,6.4,132
